part_number,description
C172-C3P,Phillips 40S5S / 27S3S - Direct Replacement
C172-C4,Collard Slotted - Direct Replacement
C172-C4P,Phillips - Direct Replacement
C172-C5,Collard Slotted Southco / 4002s - Direct Replacement
C172-C5P,Phillips - Direct Replacement / Firewall - Nose/Center Split n
C172-C6,Collard Slotted - Direct Replacement
C172-C6P,Phillips - Direct Replacement
C172-C8P,Phillips - Direct Replacement
C172-FT1,Fuel Tank Kit- 1 Wing
C172C2800P,Screw Cowling - SK25S4s Phillipsn
C175C2800P,Screw Cowling - SK25S4S Phillips
C177-C1,Collard Slotted - Direct Replacement
C177-C1P,Phillips - Direct Replacement
C177/177RG,Trim Kit
C180-C1,Collard Slotted - Direct Replacement
C180-C1P,Phillips - Engine Access Door
C180-C2,Collard Slotted - Direct Replacement
C180-C2P,Phillips - Direct Replacement
C180-FT1,Fuel Tank Kit- 1 Wing
C180-FT2,Fuel Tank Kit
C180C2800P,Screw Cowling - SK25S4S Phillips
C182-C1,Collared Slotted Cowling Kit
C182-C1P,Phillips - Direct Replacement
C182-C2,C182-C2
C182-C2P,Phillips - Direct Replacement
C182-C3,SLOTTED KIT
C182-C3P,C182-C3P
C182-C4,Collard Slotted 4002s / 2700s
C182-C4P,Phillips - 40S5S / 27S3S - Direct Replacement
C182-C5,Engine Cowling - Slotted
C182-C5P,C182 Cowling Kit - Phillips
C182-C6,Slotted - Direct Replacement
C182-C6P,Phillips - Direct Replacement
C182-C7,Collard Slotted - Direct Replacement
C182-C7P,Phillips - Direct Replacement
C182-FT1,Fuel Tank Kit- 1 Wing
C182-FT2,Fuel Tank Kit- 1 Wing
C182-FT2LR,Trim Kit
C182-FT3,C182-FT3
C182C2800P,Screw Cowling - SK25S4S Phillips
C188-C1,Collard Slotted - Direct Replacement
C188-C1P,Phillips - Direct Replacement
C188-RSP1,Rear Side Panel Fasteners
C200-2800,Belly Panel Slotted
C200-28S3,Belly Panel Phillips
C205-C1,Collard Slotted - Direct Replacement
C205-C1P,Phillips - Direct Replacement
C206-C1,C206 KIT SLOTTED
C206-C1P,C206 KIT PHILLIPS
C206-C2P,Collared Slotted
C206-FT1,C206-FT1 FUEL TANK KIT
C206-FT1LR,Fuel Tank Kit- 1 Tank
C207-C1,Collared Slotted
C207-C1P,Phillips
C208-C1P,Phillips
C210-C1,Collared Slotted
C210-C1P,Phillips
C210-C2,Collared Slotted
C210-C2P,Phillips
C210-C3,Collared Slotted
C210-C3P,Phillips
C210-C4,Collared Slotted
C210-C4P,Phillips
C210-FT1,Fuel Tank Kit- 1 Tank
C210-FT2,Fuel Tank Kit- 1 Tank
C210-FT2LR,Fuel Tank Kit- 1 Tank
C210-FT3,Fuel Tank Kit- 1 Tank
C210-FT4,C210-FT4
C300-BA1,ZLoc Fasteners for Battery Access Panels
C300-BA3,Battery Panel Access Panels
C300-NA1P,Nose Access Panels K thru Q Only - Phillips
C300-NA1S,Nose Access Panels K thru Q Only - Slotted
C300-NA2,C300-NA2
C300-NA3P,Avionics Panel - Phillips
C300-NA3S,Avionics Panel - Slotted
C300-NA4P,Nose Access Panel - Phillips
C300-NA4S,Nose Access Panel - Slotted
C300-OAD1P,C300-OAD1P
C300-OAD1S,C300-OAD1S
C303-C1,Collared Slotted
C303-C1P,Phillips
C310-C1,Collared Slotted
C310-C1P,CESSNA KIT
C310-C2,Collared Slotted
C310-C2P,Phillips
C310-C3,Collard Slotted - Direct Replacement
C310-C3P,Phillips - Direct Replacement
C310-C5,"Engine Cowling Fastener Replacement Kit C310P,Q,R All P,Q Turbo, All R Slotted"
C310-C5P,"C310P,Q,R 1969-1981SERIAL #P0001-R2140 TURBOnPHILLIPS CLOC COWLING KIT"
C310-FT1,FUEL TANK KIT
C310-FT2,C310-FT2
C310-FT3,C310-FT3
C336-C1,Collared Slotted
C336-C1P,Phillips
C337-C1,SLOTTED
C337-C1P,Phillips
C337-FT1,FUEL TANK KIT
C340-C1,Collard Slotted - Direct Replacement
C340-C1P,Phillips - Direct Replacement
C340-FT1,FUEL TANK KIT
C400-BA1P,Battery Access Panel - Phillips
C400-BA1S,Battery Access Panel - Slotted
C400-BA2P,BATTERY ACCESS PANEL PHILLIPS
C400-BA2S,BATTERY ACCESS PANEL SLOTTED
C400-C1,Engine Cowlings - Oil Access Door - Slotted
C400-C1P,Engine Cowling - Oil Access Door - Phillips
C400-C2,Engine Cowling - Slotted
C400-C2P,Engine Cowling - Phillips
C400-CP1P,Bottom Cowling Panels - Phillips
C400-CP1S,Bottom Cowling Panels - Slotted
C400-CP2P,Bottom Cowling Panels - Phillips
C400-CP2S,Bottom Cowling Panels - Slotted
C400-FT1,Fuel Tank Kit- 1 Wing
C400-NF1,Nacelle Panels & Fairing
C400-NP1P,Nose Panel - Phillips
C400-NP1S,Nose Panel - Slotted
C400-NP2P,Nose Panel - Phillips
C400-NP2S,Nose Panel - Slotted
C400-NP3P,Nose Panel - Phillips
C400-NP3S,Nose Panel - Slotted
C400-NP4P,Nose Panel - Avionics Door - Phillips
C400-NP4S,Nose Panel - Avionics Door - Slotted
C400-NP5P,Nose Panel - No Avionics Door - Phillips
C400-NP5S,Nose Panel - No Avionics Door - Slotted
C400-NP6P,Nose Panel with Avionics Door - Phillips
C400-NP6S,Nose Panel with Avionics Door - Slotted
C400-NP7P,Nose Panel with no Avionics Door - Phillips
C400-NP7S,Nose Panel with no Avionics Door - Slotted
C400-NP8P,Nose Panel - No Avionics Door - Phillips
C400-NP8S,Nose Panel - No Avionics Door - Slotted
C400-OD1P,Oil Drain Door - Phillips
C400-OD1S,Oil Drain Door - Slotted
C400-RAD1P,Radome - Phillips
C400-RAD1S,Radome - Slotted
C402C-FT1,Fuel Tank Kit- 1 Tank
C404-C1,Engine Cowling - Slotted
C404-C1P,Engine Cowling - Phillips
C414-C1,Engine Cowling - Slotted
C414-C1P,Engine Cowling - Phillips
C414-C2,Engine Cowling - Slotted
C414-C2P,Engine Cowling - Phillips
C414-FT1,Fuel Tank Kit- 1 Tank
C421-C1,Engine Cowling - Oil Doors - Slotted
C421-C1P,Engine Cowling - Oil Doors - Phillips
C421-C2,Engine Cowling - Slotted
C421-C2P,Engine Cowling - Phillips
C425-C1,Engine Cowling - Slotted
C425-C1P,
C441-C1,Engine Cowling - Slotted
C441-C1P,Engine Cowling - Phillips
C500-C1,Engine Cowling - Slotted
C500-C1P,Engine Cowling - Phillips
C500-C2,Engine Cowling - Slotted
C500-C2P,Engine Cowling - Phillips
CIT-400P,CIT-400P
ERCOUPE,Trim Kit
FBO BOLT1 KIT,FBO BOLT 1 KIT
FBO NUT KIT,FBO NUT KIT
FBO PLUS HARDWARE KIT SYSTEM,FBO PLUS HARDWARE KIT SYSTEM
FBO RIVET KIT,HARDWARE RIVET KIT
FBO SCREW KIT,FBO SCREW KIT
FBO WASHER KIT,FBO WASHER KIT
G-AG CAT,Trim Kit
G-TIGER,Trim Kit
KA90-AP1,King Air Aft Kidney Panel (L&R) CLoc Kit
KA90-BP1,King Air Hinged Belly Panel CLoc Kit
KA90-NP1,King Air Avionics Nose Panel #5 ALoc Kit - Torx Head
KA90-NP2,NOSE COMPARTMENT PANELS - Standard Slotted
KA90-WP1,Wing Panels (L&R) Batteryn
LANCAIR-C1P,Lancair - Complete Kit - Phillips - (Incl. SK28s3s around Gear Wall)
LANCAIR-C1P-F,Lancair - Firewall Kit - Phillips
LANCAIR-C1P-U,Lancair - Upper Cowl Kit - Phillips
LANCAIR-C1S,Lancair - Complete Kit - 62 Collard Slotted Fasteners (Incl. SK2800S for Gear Wall)
LANCAIR-C1S-F,Lancair - Firewall Kit - 36 Collard Slotted Fasteners
LANCAIR-C1S-S,Lancair - Side Kit - 26 Collard Slotted Fasteners
LANCAIR-C1S-U,Lancair - Upper Cowl Kit - 45 Collard Slotted Fasteners
M-201/231,M-201/231
M-20B,Trim Kit
M-20C/D,M-20C/D
M-20E/G,M-20E/G
M-252,M-252
M20-BAT1P,Battery Access Panel - Southco Phillips
M20-BAT1S,M20-BAT1S
M20-BAT2P,Battery Access Panel - Phillips
M20-BAT2S,Battery Access Panel - Slotted
M20-BP1P,Belly Access Panel - Phillips
M20-C2,Engine Cowling - Slotted
M20-C2P,FASTENER KIT MOONEY COWLING
M20-C3,Engine Cowling Slotted
M20-C3P,Engine Cowling - Phillips
M20-C5,Engine Cowling Slotted
M20-C5P,MOONEY M201 M20J 77-84 SERIAL #24-0001-1458
M20-C6,Engine Cowling - Slotted
M20-C6A,M231 M20K-L/M #25-0001 ON 79-85 - Engine Cowling Collard Slotted
M20-C6AP,M20K-L/M 231 - 25-0001 on 79-85 - STAINLESS - PHILLIPS
M20-C6P,Engine Cowling - Phillips
M20-C7,Engine Cowling - Slotted MS252 #25-0001 on 85
M20-C7P,Engine Cowling - Phillips MS252 #25-0001 ON 85
MU2,Mitsubishi MU2 Trim Kit
MU2-C1,Collared Slotted
MU2-C1P,Phillips
MU2-C2,Collared Slotted
MU2-C2P,MU2-C2P
MU2-FT1,N
PA-140-235,AIRCRAFT TRIM KIT
PA-AEROSTAR,Trim Kit
PA-APACHE,Trim Kit
PA-ARROW,Trim Kit
PA-AZTEC,Trim Kit
PA-CHEROKEE SIX,Trim Kit
PA-CHEYENNE,PIPER CHEYENNE TRIM SCREW KIT
PA-COMANCHE,Trim Kit
PA-FD1W,Fuel Doors Wing
PA-J3 CUB,Trim Kit
PA-MALIBU,Trim Kit
PA-NAC1P,Nacelle Panels - Phillips
PA-NAC1S,Nacelle Panels - Slotted
PA-NAVAJO,TRIM KIT
PA-NP1P,Nose Panels - Phillips
PA-NP1S,Nose Panels - Slotted
PA-NP2P,Nose Panel - Phillips
PA-NP2S,Nose Panel - Slotted
PA-NP3P,Nose Panels - Phillips
PA-NP3S,Nose Panels - Slotted
PA-PAWNEE,TRIM KIT
PA-SEMINOLE,Trim Kit
PA-SENECA,Trim Kit
PA-SUPER CUB,Trim Kit
PA-T COMANCHE,Trim Kit
PA-TOMAHAWK,EXTERIOR TRIM KIT
PA-WARRIOR,Trim Kit
PA18-C1,Engine Side Panels - Slotted
PA18-C2,Engine Side Panels - Slotted
PA18-C3,Engine Side Panels - Slotted
PA23-C1,Engine Cowling/Oil Door/Fuel Drain - Slotted
PA23-C1P,Engine Cowling/Oil Door/Fuel Drain - Phillips
PA23-C2,Engine Cowling/Oil Door/Fuel Drain - Slotted
PA23-C2P,Engine Cowling/Oil Door/Fuel Drain - Phillips
PA23-C3,Engine Cowling/Fuel Drain - Southco Slottedn.
PA23-C4,Engine Cowling/Fuel Drain - Slotted
PA23-C4P,Engine Cowling/Fuel Drain - Phillips
PA28-C1,Engine Cowling - Slotted
PA28-C1P,Engine Cowling - Phillips
PA28-FT1,PA28-FT1 FUEL TANK KIT
PA28-FT2,Fuel Tank Kit
PA30-2701P,PA30-2701P CONVERSION KIT
PA30-2701S,SLOTTED ENGINE COWLING KIT
PA30-2702P,NOSE PANEL CLOC CONV KIT PHILLIPS
PA30-2702S,NOSE PANEL KIT SLOTTED
PA30-C2,Engine Cowling - Slotted
PA30-C2P,Engine Cowling - Phillips
PA30-NP1,NOSE PANEL KIT SLOTTED
PA32-C1,Engine Firewall - Slotted
PA32-C1P,Engine Firewall - Phillipsn
PA32-FT1,Fuel Tank Kit
PA32-FT2,Fuel Tank Kit
PA32-FT3,Fuel Tank Kit
PA32-FT4,Fuel Tank Kit
PA32-FT5,Fuel Tank Kit
PA34-C2,Engine Cowling - Slotted
PA34-C2P,Engine Cowling - Phillips
PA34-C3,Engine Cowling - Slotted
PA34-C3P,Engine Cowling - Phillips
PA34-C4,Engine Cowling - Slotted
PA34-C4P,Engine Cowling - Phillips
PA34-FT1,PA34-200 SENECA FUEL TANK KIT (1)
PA34-FT2,Fuel Tank Kit
PA34-OPTIONS-1P,Phillips
PA44-C1,Engine Cowling - Slotted
PA44-C1P,Engine Cowling - Phillips
PA46-C1,Engine Cowling - Slotted
PA46-C1P,Engine Cowling - Phillips
PA600-C1,Engine Cowling - Slotted
PA600-C1P,Engine Cowling - Phillips
PA700-C1,Engine Cowling - Slotted
PA700-C1P,Engine Cowling - Phillips
PK-AN3,PK-AN3
PK-AN3A,PK-AN3A
PK-INTERIOR,
R-COMMANDER 500,R-COMMANDER 500
RV-OD1,"2ea ZG2600-1W, SK213-2, SK2600-LWS, Drill Template - Oil Door Kit"
RV-OD2,"2ea SK28S3-2S, SK213-2, SK2600-LWS Oil Door Kit - Stainless"
RV1014-C1P-S,"RV10,14 - Upper FW/Side Kit - 45 Phillips Fasteners"
RV1014J-C1P,"RV10,14 - Complete Cowling Kit - 62 Phillips 62 Fasteners"
RV1014J-C1P-F,"RV10,14 - Firewall Kit - 36 Phillips Fasteners"
RV1014J-C1P-S,"RV10,14 - Upper FW/Side Kit - 45 Phillips Fasteners"
RV1014J-C1P-U,"RV10,14 - Upper FW/Side Kit - 45 Phillips Fasteners"
RV1014J-C1P-UF,"RV10,14 - Upper Firewall Kit - 19 Phillips Fasteners"
RV1014J-C1S,"RV10,14 - Complete Cowling Kit - 62 Collared Slotted Fasteners"
RV1014J-C1S-F,"RV10,14 - Firewall Kit - 36 Collared Slotted Fasteners"
RV1014J-C1S-S,"RV10,14 - Side Kit - 26 Collared Slotted Fasteners"
RV1014J-C1S-U,"RV10,14 - Upper FW/Side Kit - 45 Slotted Fasteners"
RV1014J-C1S-UF,"RV10,14 - Upper Firewall Kit - 19 Collared Slotted Fasteners"
RV4-C1P-F,Vans RV4 - Complete Firewall Kit - (No Flanges)
RV4-C1P-S,RV4 - Side Kit - (No Flanges) 20 Phillips Fasteners
RV4J-C1P,RV4 Complete Kit - 38 Phillips Fasteners
RV4J-C1P-C,RV4 - Cheek Cowl Kit - 8 Phillips Fasteners
RV4J-C1P-F,RV4 - Upper FW/Side Kit - 18 Phillips Fasteners
RV4J-C1P-S,RV4 - Side Kit - 20 Collared Phillips Fasteners
RV4J-C1P-U,RV4 - Upper FW/Side Kit - 30 Phillips Fasteners
RV4J-C1P-UF,RV4 - Upper Firewall Kit - 10 Phillips Fasteners
RV4J-C1S-S,RV4 - Side Kit - 20 Collared Slotted Fasteners
RV4J-C1S-UF,RV4 - Upper Firewall Kit - 10 Collared Slotted Fasteners
RV679-C1P,"RV6,7,9, 12 - Complete Cowling Kit - 52 Phillips Fasteners"
RV679-C1P-F,"Vans RV6,7,9,12 - Complete Firewall Kit - (No Flanges)"
RV679-C1P-UF,"Vans RV6,7,9,12 - Upper Firewall Kit - (No Flanges)"
RV679J-C1P,"RV6,7,9, 12 - Complete Cowling Kit - 52 Phillips Fasteners"
RV679J-C1P-F,"RV6,7,9, 12 - Firewall Kit - 32 Phillips Fasteners"
RV679J-C1P-S,"RV6,7,9, 12 - Side Kit - 20 Phillips Fasteners"
RV679J-C1P-U,"RV6,7,9, 12 - Upper FW/Side Kit - 36 Phillips Fasteners"
RV679J-C1P-UF,"RV6,7,9 - Upper Firewall Kit - 17 Phillips Fasteners"
RV679J-C1S,"RV6,7,9, 12 - Complete Cowling Kit - 52 Collared Slotted Fasteners"
RV679J-C1S-U,"RV6,7,9, 12 - Upper FW/Side Kit - 34 Collared Slotted Fasteners"
RV679J-C1S-UF,"RV6,7,9, 12 - Upper Firewall Kit - 17 Collared Slotted Fasteners"
RV8-C1P,RV8- Complete Cowling Kit- 50 Phillips Fasteners
RV8-C1P-F,
RV8-C1P-UF,RV8 - Upper Firewall Kit - 14 Phillips Fasteners
RV8J-C1P,RV8- Complete Cowling Kit- 50 Phillips Fasteners
RV8J-C1P-F,RV8 - Firewall Kit - 30 Phillips Fasteners
RV8J-C1P-S,RV8 - Side Kit - 20 Phillips Fasteners
RV8J-C1P-U,Vans RV8 - Upper (FW/Side) Kit - Phillips
RV8J-C1P-UF,RV8 - Upper Firewall Kit - 14 Phillips Fasteners
RV8J-C1S,RV8- Complete Cowling Kit- 50 Slotted Fasteners
RV8J-C1S-F,RV8 - Firewall Kit - 30 Slotted Fasteners
RV8J-C1S-U,Vans RV8 - Upper (FW/Side) Kit - Slotted
RV8J-C1S-UF,VANS RV UPPER FIREWALL KIT/SLOTTED FASTENERS
SK2018-SET,"Complete Zloc (Dzus) Aircraft Tool Set - Includes SK2018C Clamp, all Zloc Die Sets, Press Adapter, Dimple Tool Adpaters. Does not include common .187 dimple dies."
SK203C150P-FW4,SK40S5S Phillips - Firewall Kit
SK203C150P-SD2,SK28S3 Phillips - Side Kit
SK203C150P4,SK40S5S Phillips - Complete Kit
SK203C150P4D,SK40S5S Phillips Complete Kit/Doubler
SK203C172P-FW4,SK40S5S Phillips - Firewall Kit
SK203C172P-RET,SK40S5S Phillips - Retro Kit
SK203C172P-RS4,SK40S5S Phillips - Complete Kit
SK203C172P-RS4FW,
SK203C172P-SD4,SK40S5S Phillips - Side Kit
SK203C172P-XP4,SK40S5S Phillips - Complete Kit
SK203C172P4,SK40S5S Phillips - Complete Kit
SK203C172PQ-SD4,
SK203C172PQ4,SK40S5S Phillips - Complete Kit
SK203C172PXP-FW4,SK40S5S Phillips - Firewall Kit
SK203C177P-FW4,
SK203C177P4,SK40S5S Phillips - Complete Kit
SK203C182P-FW4,SK40S5S Phillips - Firewall Kit
SK203C182P-RET,
SK203C182P2,
SK203C182P4,SK40S5S Phillips - Complete Kit
SK2600-TS1,SK2600 / SK2700 Installation Set
SK2600FW-SET 2,"SK2600-1SFW, SK2600-LWS, SK213-28 - Max Grip .370in/9.39mm"
SK2600FW-SET1,"SK2600-1SFW, SK2600-LWS, SK213-2 - Max Grip .370in/9.39mm"
SK2600RS-SET1,"SK2600R1S, SK2600-LWS, SK213-2 - Max Grip .370in/9.39mm"
SK2600SW-SET1,"2600 Wing Set 3/32 Receptacle - SK2600-1SW, SK2600-LWS, SK213-2 - Max Grip .370in/9.39mm"
SK26S51-SET1,"26S51 Phillips Set 3/32 Receptacle - SK26S51-1, SK2600-LWS, SK213-2 - Max Grip .370in/9.39mm"
SK26S51-SET2,"26S51 Phillips Set 3/32 Receptacle - SK26S51-1, SK2600-LWS, SK213-2 - Max Grip .370in/9.39mm"
SK28S3-SET1,"28S3 Phillips Set 3/32 Receptacle - SK28S3-2S, SK2600-LWS, SK213-2 - Max Grip .340in/8.63mm"
SK28S3-SET2,"28S3 Phillips Set 3/32 Receptacle - SK28S3-2S, SK2600-LWS, SK213-28 - Max Grip .340in/8.63mm"
SK4002-TS1,"Installation Tool Set for Cessna Kits 4P3,T2698,T-215,T-245,T-245A,Unibit 1&4"
SK4002-TS2,"Tool Set for Vans RV Kits - SK-4P3, SK-T26, Unibit-1, Unibit-4"
SK40S5-SET1,"4000 SERIES SET - SK40S5-2S, SK-OS, SK-R4G, SK245-4 - Max Grip .340"
SK4P3-T26,SK-4P3 Pliers and SK-T26 Tools Set
SKN4-2S SET,Grommet Backing Washer Set
SKN4-3S SET,Grommet Backing Washer Set
SKN4-4S SET,"Stainless Grommet Backing Washer Set for Extremely Worn Holes. Includes SKNR-4S .750 Grommet, AN960PD716L & SKR4GS"
ZG2600-SET1,"2600 Skytanium Slot Set 3/32 (SK213-2 Receptacles) ZG2600-1, SK2600-LWS, SK213-2. Max Grip .370 in. / 9.39 mm"
ZG2600-SET2,"2600 Skytanium Slot Set 3/32 (SK213-2 Receptacles) ZG2600-1, SK2600-LWS, SK213-28 - Max Grip .370in/9.39mm"
ZG2600W-SET2,"2600 Skytanium Wing Set - 3/32 Receptacle - ZG2600-1W, SK2600-LWS, SK213-28 - Max Grip .340in/8.63mm"
ZG28S3-SET1,"28S3 Skytanium Set 3/32 Receptacle - ZG28S3-2, SK2600-LWS, SK213-2 - Max Grip .340in/8.63mm"
ZG28S3-SET2,"28S3 Skytanium Set 1/8 Receptacle - ZG28S3-2, SK2600-LWS, SK213-28 - Max Grip .340in/8.63mm"
